,year,month,return,year,start_month,total_deaths,no_affected
0,2000,1,4,2000,1,5,0
1,2000,2,1,2000,2,25,1731
2,2000,3,2,2000,3,5,3000
3,2000,4,4,2000,5,5,25840
4,2000,5,1,2000,6,0,8800
5,2000,10,3,2000,7,50,2200
6,2000,12,2,2000,8,0,175
7,2001,1,3,2000,9,1,25000
8,2001,3,4,2000,10,2,14418
9,2001,4,4,2000,11,0,100
10,2001,5,1,2000,12,69,0
11,2001,9,3,2001,2,19,1100
12,2002,1,1,2001,3,2,592
13,2002,5,1,2001,4,7,7001
14,2002,6,1,2001,6,44,102780
15,2002,7,8,2001,7,2,10500
16,2002,8,5,2001,8,67,3800
17,2002,9,4,2001,9,2,0
18,2002,10,5,2001,10,1,2460
19,2002,11,1,2001,11,9,600
20,2003,1,2,2002,1,52,0
21,2003,3,4,2002,2,0,29
22,2003,4,1,2002,3,33,750
23,2007,2,1,2002,4,11,0
24,2007,8,2,2002,5,12,1150
25,2007,9,1,2002,6,24,145500
26,2007,10,1,2002,7,214,3523
27,2007,11,4,2002,9,1,16400
28,2007,12,1,2002,10,0,101
29,2008,1,1,2002,11,36,3600
30,2008,2,2,2002,12,61,0
31,2008,3,2,2003,2,62,220
32,2008,4,1,2003,3,9,0
33,2008,6,2,2003,4,13,0
34,2008,7,1,2003,5,48,2150
35,2008,8,1,2003,6,4,0
36,2008,9,9,2003,7,3,1200
37,2008,10,14,2003,8,0,1500
38,2008,11,13,2003,9,16,225000
39,2008,12,8,2003,10,18,27000
40,2009,1,7,2003,11,26,1125
41,2009,2,5,2003,12,32,0
42,2009,3,7,2004,1,59,0
43,2009,4,3,2004,3,18,1710
44,2009,5,4,2004,5,15,26929
45,2009,6,2,2004,6,4,307
46,2009,7,2,2004,7,1,200
47,2009,10,2,2004,8,17,30000
48,2010,2,1,2004,9,105,5040189
49,2010,5,4,2004,10,0,105
50,2010,6,4,2005,1,48,500
51,2010,7,2,2005,2,9,150
52,2010,8,1,2005,4,2,11045
53,2010,9,1,2005,5,0,0
54,2011,8,9,2005,7,38,0
55,2011,9,5,2005,8,1833,500120
56,2011,10,3,2005,9,10,300000
57,2011,11,4,2005,10,15,33000
58,2011,12,1,2005,12,18,3600
59,2012,6,1,2006,3,17,0
60,2013,1,1,2006,4,41,4665
61,2015,8,3,2006,5,3,3100
62,2015,9,3,2006,6,13,67400
63,2016,1,1,2006,7,190,600
64,2016,6,1,2006,8,6,290
65,2018,2,2,2006,9,14,1200
66,2018,3,2,2006,10,7,3619
67,2018,10,2,2006,11,25,1500
68,2018,12,3,2006,12,10,600
69,2019,1,1,2007,1,89,0
70,2019,8,3,2007,2,40,6600
71,2020,2,3,2007,3,20,0
72,2020,3,18,2007,4,33,0
73,2020,4,5,2007,5,25,100
