year,start_month,total_deaths,no_affected
2000,1,5,0
2000,2,25,1731
2000,3,5,3000
2000,5,5,25840
2000,6,0,8800
2000,7,50,2200
2000,8,0,175
2000,9,1,25000
2000,10,2,14418
2000,11,0,100
2000,12,69,0
2001,2,19,1100
2001,3,2,592
2001,4,7,7001
2001,6,44,102780
2001,7,2,10500
2001,8,67,3800
2001,9,2,0
2001,10,1,2460
2001,11,9,600
2002,1,52,0
2002,2,0,29
2002,3,33,750
2002,4,11,0
2002,5,12,1150
2002,6,24,145500
2002,7,214,3523
2002,9,1,16400
2002,10,0,101
2002,11,36,3600
2002,12,61,0
2003,2,62,220
2003,3,9,0
2003,4,13,0
2003,5,48,2150
2003,6,4,0
2003,7,3,1200
2003,8,0,1500
2003,9,16,225000
2003,10,18,27000
2003,11,26,1125
2003,12,32,0
2004,1,59,0
2004,3,18,1710
2004,5,15,26929
2004,6,4,307
2004,7,1,200
2004,8,17,30000
2004,9,105,5040189
2004,10,0,105
2005,1,48,500
2005,2,9,150
2005,4,2,11045
2005,5,0,0
2005,7,38,0
2005,8,1833,500120
2005,9,10,300000
2005,10,15,33000
2005,12,18,3600
2006,3,17,0
2006,4,41,4665
2006,5,3,3100
2006,6,13,67400
2006,7,190,600
2006,8,6,290
2006,9,14,1200
2006,10,7,3619
2006,11,25,1500
2006,12,10,600
2007,1,89,0
2007,2,40,6600
2007,3,20,0
2007,4,33,0
2007,5,25,100
2007,6,22,5870
2007,8,33,2800
2007,10,8,640000
2007,11,0,10000
2007,12,63,1100
2008,1,18,1500
2008,2,59,2100
2008,3,20,1150
2008,4,3,0
2008,5,29,0
2008,6,25,11000000
2008,7,0,0
2008,8,19,400
2008,9,125,2300000
2008,11,0,55000
2008,12,5,30000
2009,1,58,0
2009,2,16,0
2009,3,8,5000
2009,4,15,1750
2009,5,7,0
2009,6,1,0
2009,7,3,0
2009,8,3,0
2009,9,9,3000
2009,11,6,0
2009,12,19,0
2010,1,0,600
2010,2,3,0
2010,3,11,0
2010,4,42,10700
2010,5,25,0
2010,6,40,0
2010,9,9,0
2010,12,8,1000
2011,1,60,0
2011,4,420,0
2011,5,198,25000
2011,7,22,0
2011,8,55,370100
2011,9,19,600
2011,10,29,0
2011,12,6,0
2012,1,5,0
2012,2,14,0
2012,3,41,0
2012,4,7,3300
2012,5,0,0
2012,6,165,26300
2012,7,1,0
2012,8,2,61809
2012,9,5,0
2012,10,54,0
2012,12,24,0
2013,1,3,1089
2013,2,17,4800
2013,3,2,0
2013,4,12,300
2013,5,65,170312
2013,6,25,84
2013,7,2,1425
2013,8,3,6000
2013,9,10,16515
2013,10,4,4800
2013,11,25,0
2013,12,44,0
2014,1,50,0
2014,2,46,0
2014,3,43,0
2014,4,40,0
2014,5,2,429
2014,6,2,0
2014,7,0,300
2014,8,4,105834
2014,10,2,0
2014,11,13,0
2014,12,3,0
2015,1,39,0
2015,2,40,0
2015,3,14,3300
2015,4,7,0
2015,5,59,24000
2015,6,0,0
2015,7,5,600
2015,8,8,600
2015,9,26,0
2015,10,27,800
2015,11,18,300
2015,12,76,4000
2016,1,50,85000000
2016,2,10,0
2016,3,13,300
2016,4,33,24000
2016,5,26,0
2016,6,25,2036
2016,7,2,420
2016,8,13,70000
2016,9,4,13500
2016,10,49,0
2016,11,22,120
2016,12,22,0
2017,1,27,0
2017,2,9,200900
2017,3,14,600
2017,4,20,0
2017,5,0,0
2017,6,0,0
2017,7,10,9
2017,8,88,555600
2017,9,62,0
2017,10,30,60
2017,11,0,0
2017,12,24,0
2018,1,47,1338
2018,3,9,0
2018,4,0,1596
2018,5,10,2575
2018,7,32,0
2018,9,55,1500000
2018,10,50,5000
2018,11,90,250000
2018,12,2,0
2019,1,45,0
2019,2,2,14000
2019,3,33,2000
2019,4,13,0
2019,5,3,0
2019,6,3,600
2019,7,1,150
2019,9,14,1000
2019,10,7,972
2019,11,10,0
2019,12,18,0
2020,1,12,0
2020,3,25,12000
2020,4,38,0
