year,month,return
2000,1,4
2000,2,1
2000,3,2
2000,4,4
2000,5,1
2000,10,3
2000,12,2
2001,1,3
2001,3,4
2001,4,4
2001,5,1
2001,9,3
2002,1,1
2002,5,1
2002,6,1
2002,7,8
2002,8,5
2002,9,4
2002,10,5
2002,11,1
2003,1,2
2003,3,4
2003,4,1
2007,2,1
2007,8,2
2007,9,1
2007,10,1
2007,11,4
2007,12,1
2008,1,1
2008,2,2
2008,3,2
2008,4,1
2008,6,2
2008,7,1
2008,8,1
2008,9,9
2008,10,14
2008,11,13
2008,12,8
2009,1,7
2009,2,5
2009,3,7
2009,4,3
2009,5,4
2009,6,2
2009,7,2
2009,10,2
2010,2,1
2010,5,4
2010,6,4
2010,7,2
2010,8,1
2010,9,1
2011,8,9
2011,9,5
2011,10,3
2011,11,4
2011,12,1
2012,6,1
2013,1,1
2015,8,3
2015,9,3
2016,1,1
2016,6,1
2018,2,2
2018,3,2
2018,10,2
2018,12,3
2019,1,1
2019,8,3
2020,2,3
2020,3,18
2020,4,5
