year,cap,gdp
2000,36334.90878,10252300000000.0
2001,37133.24281,10581800000000.0
2002,38023.16111,10936400000000.0
2003,39496.48588,11458200000000.0
2004,41712.80107,12213700000000.0
2005,44114.74778,13036600000000.0
2006,46298.731439999996,13814600000000.0
2007,47975.96768,14451900000000.0
2008,48382.55845,14712800000000.0
2009,47099.98047,14448900000000.0
2010,48467.51578,14992100000000.0
2011,49886.81811,15542600000000.0
2012,51610.60528,16197000000000.0
2013,53117.66783,16784800000000.0
2014,55047.72556,17521700000000.0
2015,56822.518820000005,18219300000000.0
2016,57927.51685,18707200000000.0
2017,59957.72585,19485400000000.0
2018,62886.83648,20544300000000.0
2019,65112.0,21300000000000.0
