Date,Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,3.0,4.0,4.0,4.0
2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,1.0,3.0,3.0,5.0
2000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,7.0,5.0,4.0,2.0,3.0
2000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,11.0,7.0,4.0,5.0,3.0
2000,5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,11.0,0.0,1.0,3.0,3.0
2000,6,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0
2000,7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0
2000,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0
2000,9,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,3.0,2.0,7.0,2.0,3.0,1.0,1.0
2000,10,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,2.0,4.0,10.0,0.0,1.0,3.0,7.0
2000,11,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0,5.0
2000,12,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,7.0,4.0,3.0,11.0,0.0,2.0,3.0,4.0
2001,1,0.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,6.0,3.0,3.0,8.0,2.0,0.0,4.0,5.0
2001,2,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0
2001,3,12.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,6.0,3.0,4.0,11.0,1.0,3.0,4.0,3.0
2001,4,13.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,4.0,3.0,4.0,9.0,1.0,0.0,1.0,2.0
2001,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0
2001,6,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0
2001,7,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0
2001,8,5.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
2001,9,5.0,0.0,0.0,3.0,2.0,3.0,12.0,3.0,5.0,6.0,4.0,7.0,3.0,1.0,4.0,6.0
2001,10,9.0,0.0,0.0,4.0,0.0,2.0,16.0,0.0,2.0,4.0,2.0,5.0,0.0,1.0,4.0,6.0
2001,11,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,2.0
2001,12,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0
2002,1,4.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0
2002,2,5.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0
2002,3,4.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0
2002,4,8.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0
2002,5,14.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0
2002,6,8.0,0.0,0.0,1.0,0.0,4.0,12.0,1.0,0.0,2.0,3.0,6.0,2.0,2.0,3.0,2.0
