Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2000,0.0,0.0,0.0,20.0,0.0,24.0,0.0,5.0,45.0,43.0,24.0,87.0,22.0,25.0,26.0,44.0
2001,78.0,0.0,0.0,24.0,2.0,32.0,60.0,12.0,32.0,28.0,20.0,79.0,12.0,10.0,21.0,32.0
2002,93.0,0.0,0.0,36.0,6.0,76.0,120.0,25.0,38.0,35.0,38.0,90.0,11.0,37.0,30.0,37.0
2003,47.0,0.0,0.0,12.0,0.0,24.0,70.0,6.0,8.0,6.0,10.0,26.0,4.0,6.0,7.0,16.0
2004,21.0,0.0,0.0,0.0,7.0,2.0,49.0,0.0,6.0,3.0,0.0,5.0,1.0,1.0,2.0,0.0
2005,12.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0,5.0,29.0,1.0,2.0,0.0,3.0,0.0,0.0
2006,6.0,4.0,35.0,1.0,3.0,0.0,28.0,0.0,11.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0
2007,3.0,8.0,75.0,22.0,35.0,14.0,19.0,10.0,20.0,31.0,7.0,5.0,1.0,8.0,1.0,12.0
2008,48.0,57.0,157.0,104.0,95.0,74.0,81.0,55.0,69.0,93.0,59.0,59.0,21.0,45.0,22.0,66.0
2009,23.0,41.0,96.0,83.0,106.0,38.0,65.0,36.0,59.0,60.0,51.0,37.0,7.0,15.0,13.0,46.0
2010,15.0,22.0,44.0,23.0,30.0,13.0,42.0,13.0,29.0,23.0,20.0,16.0,3.0,6.0,6.0,17.0
2011,24.0,31.0,53.0,40.0,32.0,17.0,48.0,24.0,43.0,45.0,31.0,19.0,4.0,6.0,14.0,26.0
2012,8.0,3.0,48.0,4.0,2.0,3.0,14.0,2.0,9.0,7.0,3.0,4.0,0.0,0.0,0.0,2.0
2013,19.0,2.0,32.0,3.0,5.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
2014,33.0,2.0,13.0,0.0,1.0,3.0,8.0,0.0,4.0,8.0,3.0,2.0,0.0,0.0,4.0,1.0
2015,39.0,4.0,15.0,5.0,5.0,7.0,21.0,5.0,10.0,27.0,7.0,8.0,3.0,8.0,8.0,8.0
2016,45.0,5.0,23.0,11.0,5.0,14.0,22.0,4.0,12.0,29.0,5.0,8.0,2.0,5.0,7.0,4.0
2017,9.0,0.0,2.0,0.0,0.0,8.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2018,23.0,15.0,26.0,9.0,7.0,9.0,35.0,8.0,13.0,18.0,12.0,23.0,4.0,4.0,10.0,15.0
2019,11.0,6.0,5.0,3.0,0.0,4.0,31.0,5.0,6.0,9.0,6.0,10.0,1.0,0.0,3.0,6.0
2020,30.0,36.0,44.0,41.0,34.0,26.0,47.0,30.0,34.0,48.0,34.0,30.0,20.0,34.0,24.0,27.0
