,,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction,Number of Disasters,Total Deaths,No Affected
2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,3.0,4.0,4.0,4.0,2,5.0,0.0
2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,1.0,3.0,3.0,5.0,3,25.0,1731.0
2000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,7.0,5.0,4.0,2.0,3.0,1,5.0,3000.0
2000,5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,11.0,0.0,1.0,3.0,3.0,8,5.0,25840.0
2000,6,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3,0.0,8800.0
2000,7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0,5,50.0,2200.0
2000,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,1,0.0,175.0
2000,9,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,3.0,2.0,7.0,2.0,3.0,1.0,1.0,2,1.0,25000.0
2000,10,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,2.0,4.0,10.0,0.0,1.0,3.0,7.0,1,2.0,14418.0
2000,11,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0,5.0,3,0.0,100.0
2000,12,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,7.0,4.0,3.0,11.0,0.0,2.0,3.0,4.0,2,69.0,0.0
2001,2,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,4,19.0,1100.0
2001,3,12.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,6.0,3.0,4.0,11.0,1.0,3.0,4.0,3.0,2,2.0,592.0
2001,4,13.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,4.0,3.0,4.0,9.0,1.0,0.0,1.0,2.0,4,7.0,7001.0
2001,6,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,5,44.0,102780.0
2001,7,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1,2.0,10500.0
2001,8,5.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,5,67.0,3800.0
2001,9,5.0,0.0,0.0,3.0,2.0,3.0,12.0,3.0,5.0,6.0,4.0,7.0,3.0,1.0,4.0,6.0,1,2.0,0.0
2001,10,9.0,0.0,0.0,4.0,0.0,2.0,16.0,0.0,2.0,4.0,2.0,5.0,0.0,1.0,4.0,6.0,4,1.0,2460.0
2001,11,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,2.0,1,9.0,600.0
2002,1,4.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2,52.0,0.0
2002,2,5.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,2,0.0,29.0
2002,3,4.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,4,33.0,750.0
2002,4,8.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,3,11.0,0.0
2002,5,14.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,4,12.0,1150.0
2002,6,8.0,0.0,0.0,1.0,0.0,4.0,12.0,1.0,0.0,2.0,3.0,6.0,2.0,2.0,3.0,2.0,4,24.0,145500.0
2002,7,13.0,0.0,0.0,7.0,5.0,10.0,15.0,8.0,8.0,5.0,7.0,13.0,3.0,10.0,10.0,7.0,3,214.0,3523.0
2002,9,11.0,0.0,0.0,5.0,0.0,8.0,8.0,3.0,4.0,6.0,2.0,9.0,3.0,8.0,5.0,6.0,4,1.0,16400.0
2002,10,7.0,0.0,0.0,12.0,1.0,12.0,16.0,5.0,11.0,6.0,10.0,9.0,1.0,7.0,4.0,6.0,2,0.0,101.0
2002,11,6.0,0.0,0.0,3.0,0.0,6.0,13.0,1.0,5.0,2.0,2.0,10.0,1.0,5.0,0.0,4.0,1,36.0,3600.0
2002,12,3.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3,61.0,0.0
2003,2,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,3,62.0,220.0
2003,3,3.0,0.0,0.0,5.0,0.0,5.0,7.0,3.0,4.0,0.0,5.0,4.0,2.0,0.0,3.0,5.0,2,9.0,0.0
2003,4,3.0,0.0,0.0,1.0,0.0,5.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1,13.0,0.0
2003,5,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3,48.0,2150.0
2003,6,9.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,4.0,0.0
2003,7,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,3.0,1200.0
2003,8,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1500.0
2003,9,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,16.0,225000.0
2003,10,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,18.0,27000.0
2003,11,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,26.0,1125.0
