Date,Return,(#) Ease of Coding,(#) Journalist Confidence,Clarity,Number of Coders,Article Title,Newspaper,Article Link/Location,Commodities,Corporate,Elections,Exrate,Foreign,Govspend,Trade,Macro,Monetary,Noart,Other,Otherpol,Reg,Sovmil,Taxes,Terror,Unknown,Policy,Year,Month,Day
4/21/2020,-0.0306748,2.000,2.333,-0.333,3,U.S. Stocks Drop as Oil Market Shudders,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2020,4,21
4/17/2020,0.02679359,2.333,2.333,-0.060,3,"Stocks Rally to Close Second Straight Week 
of Gains",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.333,2020,4,17
4/14/2020,0.03057252,2.000,2.000,-0.531,3,"Stocks Gain as U.S. Weighs Restarting 
Economy",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2020,4,14
4/8/2020,0.03405643,2.667,2.333,0.632,3,Stocks Close Higher After bout of volatility,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2020,4,8
4/6/2020,0.0703313,2.200,2.800,0.333,5,"Dow Industrials Surge About 1,600 Points at
Start of Challenging Week",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.000,0.000,0.000,0.200,2020,4,6
3/30/2020,0.03351604,1.200,1.600,-1.806,5,"Dow, S&P 500 Rise 3%; Oil Drops to 18-Year 
Low",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,0.000,0.200,0.600,2020,3,30
3/27/2020,-0.0336873,1.000,1.000,-1.216,5,"Stocks Drop, But Finish the Week With Big Gains",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,2020,3,27
3/26/2020,0.06241416,3.000,3.000,1.484,5,Dow Rallies 6.4% After Stimulus Vote,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2020,3,26
3/24/2020,0.09382766,3.000,3.000,1.679,5,Dow Soars More Than 11% In Biggest One- Day Jump Since 1933,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.850,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2020,3,24
3/23/2020,-0.0292939,2.000,2.000,0.690,5,U.S. Stocks Drop Despite Fed’s Latest Stimulus Move,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.150,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.750,2020,3,23
3/20/2020,-0.0433595,1.600,2.000,-1.171,5,Stocks Wrap Up Tough Week With Another Fall,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.200,0.600,0.000,0.000,0.000,0.000,0.800,2020,3,20
3/18/2020,-0.0518308,1.200,1.600,-0.316,5,Dow Industrials Close Below 20000; Oil and Bonds Drop in Sync,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.000,0.200,0.000,2020,3,18
3/17/2020,0.05995482,2.600,3.000,0.880,5,Stocks Rise Sharply in Volatile Trading,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2020,3,17
3/16/2020,-0.1198405,1.200,2.000,-0.152,5,"Dow Plummets Nearly 3,000 Points As Virus Fears Spread",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.150,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.150,2020,3,16
3/13/2020,0.09287119,1.750,1.750,0.851,4,Diary of a Crazy Week in the Markets,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.063,0.000,0.000,0.563,0.000,0.000,0.000,0.000,0.000,1.000,2020,3,13
3/12/2020,-0.09511268047,1.500,2.000,-0.464,4,"Stocks Plunge 10% in Dow’s Worst Day Since1987",Wall Street Journal,https://www.wsj.com/articles/global-stocks-follow-u-s-markets-lower-11583975524,0.000,0.063,0.188,0.000,0.000,0.000,0.000,0.125,0.188,0.000,0.000,0.000,0.000,0.438,0.000,0.000,0.000,0.813,2020,3,12
3/11/2020,-0.04886841092,2.250,2.000,0.072,4,"Dow Jones Industrial Average’s 11-Year BullRun Ends",Wall Street Journal,https://www.wsj.com/articles/global-markets-calmer-after-two-hectic-days-11583899913,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2020,3,11
3/10/2020,0.04939633578,2.200,1.600,0.389,5,Stocks Soar in Turbulent Trading a Day After Bruising Selloff,Wall Street Journal,https://www.wsj.com/articles/global-stock-selloff-moderates-11583803057,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.400,0.050,2020,3,10
3/9/2020,-0.07596968076,3.000,3.000,1.148,5,Stocks Fall More Than 7% in Dow’s Worst Day Since 2008,Wall Street Journal,https://www.wsj.com/articles/asian-stock-markets-in-early-monday-sell-off-after-saudi-arabias-decision-to-cut-most-of-its-oil-prices-11583713399,0.250,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.400,0.350,2020,3,9
