Date,CRSP Market Cap,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction,total_deaths,no_affected
2000,17,0,0,0,5,0,5,0,6,6,11,16,7,5,10,9,162,81264
2001,14,9,0,0,13,1,10,3,10,6,12,14,3,2,10,8,153,128833
2002,26,21,0,0,22,3,17,20,16,17,20,23,7,10,16,17,444,171053
2003,7,6,0,0,6,0,7,6,4,0,6,6,2,1,3,6,231,258195
2007,10,2,5,8,10,9,6,6,9,8,6,4,0,2,1,8,333,666470
2008,54,36,44,50,50,48,48,43,40,43,42,45,20,35,19,43,303,13390150
2009,32,12,24,29,30,31,24,29,28,30,30,29,4,10,6,30,145,9750
2010,13,12,12,12,13,11,10,13,13,12,13,10,3,6,6,13,138,12300
2011,22,17,22,20,22,18,15,18,22,22,22,17,4,5,14,21,809,395700
2012,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,318,91409
2013,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,212,205325
2015,6,6,2,5,4,1,3,5,4,5,5,5,3,2,6,5,319,33600
2016,2,2,2,2,2,0,2,2,1,1,1,2,0,0,2,2,269,85110376
2018,9,7,9,5,7,4,7,9,8,7,8,9,3,1,5,7,295,1760509
2019,4,3,2,2,3,0,2,4,2,4,4,4,1,0,2,4,149,18722
2020,26,22,22,20,24,20,20,25,23,20,22,24,18,19,22,23,75,12000
